,true drifts,detection rate,false negative rate,false positive rate,delay rate,detections,execution time,ram hours,param,observation,method
80,"[12179, 15620]",0.6666666666666666,0.3333333333333333,0.5,7911.0,"[12179, 15620, 16903, 18861]",5.944940805435181,0.027246108283671775,0.001,predicted labels,kswin
81,"[12179, 15620]",0.6666666666666666,0.3333333333333333,0.5,7911.0,"[12179, 15620, 16903, 18861]",5.370075941085815,0.024597364655721776,0.002,predicted labels,kswin
82,"[6667, 16900]",0.6666666666666666,0.3333333333333333,0.6666666666666666,8185.0,"[6667, 16900, 17032, 18860, 18996, 20151]",5.2722859382629395,0.024151587730261784,0.003,predicted labels,kswin
83,"[6667, 16900]",0.6666666666666666,0.3333333333333333,0.6666666666666666,8185.0,"[6667, 16900, 17032, 18860, 18996, 20151]",5.246469736099243,0.02401224631016779,0.004,predicted labels,kswin
84,"[6667, 16900]",0.6666666666666666,0.3333333333333333,0.6666666666666666,8185.0,"[6667, 16900, 17032, 18860, 18996, 20151]",5.295699834823608,0.024223159750818013,0.005,predicted labels,kswin
85,"[6667, 16900]",0.6666666666666666,0.3333333333333333,0.6666666666666666,8185.0,"[6667, 16900, 17032, 18860, 18996, 20151]",5.406145334243774,0.024706667986269318,0.006,predicted labels,kswin
86,"[6583, 11597, 15617]",1.0,0.0,0.7857142857142857,1376.6666666666667,"[943, 4370, 6583, 7253, 9262, 11597, 11995, 12179, 15617, 16455, 16894, 17029, 18859, 20149]",5.043429613113403,0.022896344570648732,0.007,predicted labels,kswin
87,"[6583, 11597, 15617]",1.0,0.0,0.7857142857142857,1376.6666666666667,"[943, 4370, 6583, 7253, 9262, 11597, 11995, 12179, 15617, 16455, 16894, 17029, 18859, 20149]",5.034090280532837,0.02285592989488047,0.008,predicted labels,kswin
88,"[6583, 11597, 15617]",1.0,0.0,0.7857142857142857,1376.6666666666667,"[943, 4370, 6583, 7253, 9262, 11597, 11995, 12179, 15617, 16455, 16894, 17029, 18859, 20149]",5.649206161499023,0.025853183400308302,0.009000000000000001,predicted labels,kswin
89,"[6583, 11597, 15617]",1.0,0.0,0.7857142857142857,1376.6666666666667,"[943, 4370, 6583, 7253, 9262, 11597, 11995, 12179, 15617, 16455, 16894, 17029, 18859, 20149]",5.373424291610718,0.024396954601520016,0.010000000000000002,predicted labels,kswin
